Count,Enum,Colors,Type
23731,E322,purple,Emulsifiers
23670,E322i,purple,Emulsifiers
21806,E330,orange,Others
15140,E500i,blue,Colors
15139,E500,orange,Others
11054,E415,purple,Emulsifiers
10753,E412,orange,Others
10035,E471,purple,Emulsifiers
7314,E407,purple,Emulsifiers
7168,E341,orange,Others
6916,E150c,blue,Colors
6788,E410,purple,Emulsifiers
6740,E341i,cyan,Antioxidants
6553,E160b,blue,Colors
6337,E270,orange,Others
5982,E450,orange,Others
5905,E202,blue,Colors
5659,E450i,orange,Others
4997,E129,orange,Others
4892,E102,blue,Colors
4322,E250,forestgreen,Preservatives
4246,E110,blue,Colors
4164,E466,purple,Emulsifiers
3799,E133,blue,Colors
3642,E440,purple,Emulsifiers
3573,E282,forestgreen,Preservatives
3485,E160a,blue,Colors
3312,E422,orange,Others
3111,E200,forestgreen,Preservatives
3059,E316,cyan,Antioxidants
